대출_고유키,금융회사코드,금융회사명,금융상품코드,금융상품명,기준일자,심의필일자,적재일자
대출_195,039,경남은행,0000020169,전세자금대출(서울보증),"2024-01-04(세전,연%)","준법감시인심의필심의번호:2023-H-3294,심의일자:2023.12.29,유효기일:2024.12.31",20240104
대출_196,039,경남은행,0000017092,예?적금담보대출,"2024-01-04(세전,연%)","준법감시인심의필심의번호:2023-H-3216,심의일자:2023-12-27,유효기일:2024-12-31",20240104
대출_197,039,경남은행,0000017198,지방자치단체소상공인대출,"2024-01-04(세전,연%)","준법감시인심의필심의번호:2023-H-3276,심의일자:2023.12.29,유효기일:2024.12.31",20240104
대출_198,039,경남은행,0000017145,고정금리적격대출판매중지:23.1.30~별도통지시까지,"2024-01-04(세전,연%)","준법감시인심의필심의번호:2023-H-1546,심의일자:2023.06.21,유효기일:2024.12.31",20240104
대출_199,039,경남은행,0000017147,주택금융공사u보금자리론(특례보금자리론),"2024-01-04(세전,연%)","준법감시인심의필심의번호:2023-H-3332,심의일자:2023.12.29,유효기일:2024.12.31",20240104
대출_200,039,경남은행,0000017136,메디칼론(MedicalLoan),"2024-01-04(세전,연%)","준법감시인심의필심의번호:2023-H-3253,심의일자:2023.12.27,유효기일:2024.12.31",20240104
대출_201,039,경남은행,0000017078,공무원신용우대대출,"2024-01-04(세전,연%)","준법감시인심의필심의번호:2022-H-2732,심의일자:2022.12.15,유효기일:2023.12.31",20240104
대출_202,039,경남은행,0000205364,희망플러스신용대출,"2024-01-04(세전,연%)","준법감시인심의필심의번호:2023-H-3287,심의일자:2023.12.29,유효기일:2024.12.31",20240104
대출_203,039,경남은행,0000200925,징검다리론,"2024-01-04(세전,연%)",준법감시인심의필심의번호:2022-H-2730심의일자:2022.12.15유효기일:2023.12.31,20240104
대출_204,039,경남은행,0000202352,BNK오토론,"2024-01-04(세전,연%)",준법감시인심의필심의번호:2022-H-2731심의일자:202.12.15유효기일:2023.12.31,20240104
대출_205,039,경남은행,0000202592,집집마다도움대출II(월상환액고정형),"2024-01-04(세전,연%)","준법감시인심의필,심의번호:2023-H-3299,심의일자:2023-12-29,유효기일:2024.12.31",20240104
대출_206,039,경남은행,0000017117,공무원신용대출,"2024-01-04(세전,연%)","준법감시인심의필심의번호:2023-H-3306,심의일자:2023.12.29,유효기일:2024.12.31",20240104
대출_207,039,경남은행,0000202720,경상남도청년전세자금,"2024-01-04(세전,연%)","준법감시인심의필심의번호:2023-H-3336,심의일자:2023.12.29,유효기일:2024.12.31",20240104
대출_208,039,경남은행,0000202410,(주택금융공사)정책서민금융이용자전세특례보증대출,"2024-01-04(세전,연%)","준법감시인심의필심의번호:2023-H-3335,심의일자:2023-12-29,유효기일:2024.12.31",20240104
대출_209,039,경남은행,0000204725,고금리대환대출,"2024-01-04(세전,연%)","준법감시인심의필심의번호:2023-H-3331,심의일자:2023.12.29,유효기일:2024.12.31",20240104
대출_210,039,경남은행,0000017143,프로맨예스론(YesLoan),"2024-01-04(세전,연%)","준법감시인심의필심의번호:2023-H-3259,심의일자:2023.12.27,유효기일:2024.12.31",20240104
대출_211,039,경남은행,0000017079,교직원신용대출,"2024-01-04(세전,연%)","준법감시인심의필심의번호:2023-H-3307,심의일자:2023.12.29,유효기일:2024.12.31",20240104
대출_212,039,경남은행,0000204871,햇살론뱅크,"2024-01-04(세전,연%)","준법감시인심의필,심의번호:2023-H-3329,심의일자:2023-12-29,유효기일:2024-12-31",20240104
대출_213,039,경남은행,0000017153,사장님도움대출(담보),"2024-01-04(세전,연%)","준법감시인심의필심의번호:2023-H-3256,심의일자:2023.12.27,유효기일:2024.12.31",20240104
대출_214,039,경남은행,0000120158,징검다리전세자금대출,"2024-01-04(세전,연%)","준법감시인심의필심의번호:2022-H-3337,심의일자:2023.12.29,유효기일:2024.12.31",20240104
대출_215,039,경남은행,0000204846,햇살론15,"2024-01-04(세전,연%)","준법감시인심의필심의번호:2023-H-3330,심의일자:2023-12-29,유효기일:2024-12-31",20240104
대출_216,039,경남은행,0000202300,우량업체임직원대출,"2024-01-04(세전,연%)","준법감시인심의필심의번호:2023-H-3300,심의일자:2023.12.29,유효기일:2024.12.31",20240104
대출_217,039,경남은행,0000017093,펀드담보대출,"2024-01-04(세전,연%)","준법감시인심의필심의번호:2023-H-3248,심의일자:2023-12-27,유효기일:2024-12-31",20240104
대출_218,039,경남은행,0000202415,플러스예금담보대출,"2024-01-04(세전,연%)","준법감시인심의필심의번호:2023-H-3321,심의일자:2023.12.29,유효기일:2024.12.31",20240104
대출_219,039,경남은행,0000202301,부동산웰스론WealthLoan,"2024-01-04(세전,연%)","준법감시인심의필심의번호:2023-H-3296,심의일자:2023.12.29,유효기일:2024.12.31",20240104
대출_220,039,경남은행,0000202418,토지분양자금대출,"2024-01-04(세전,연%)","준법감시인심의필심의번호:2023-H-3246,심의일자:2023-12-27,유효기일:2024-12-31",20240104
대출_221,039,경남은행,0000202416,내공장StartLoan,"2024-01-04(세전,연%)","준법감시인심의필심의번호:2023-H-3209,심의일자:2023-12-27,유효기일:2024-12-31",20240104
대출_222,039,경남은행,0000203765,우리지역氣-up서포트론,"2024-01-04(세전,연%)","준법감시인심의필심의번호:2023-H-3279,심의일자:2023.12.29,유효기일:2024.12.31",20240104
